name,time,time,MT_1,MT_2,MT_3,Col_1,Col_2,Col_3,Col_1,Col_2,Col_3,Col_4,MT_1,MT_2,MT_3,hy5-215_1,hy5-215_2,hy5-215_3,hy5-215_4,MND1-OX1_1,MND1-OX1_2,MND1-OX1_3,MND1-OX1_4,MND1-OX1_5,MND1-OX1_6,mnd1-1_1,mnd1-1_2,MND1-OX2_1,MND1-OX2_2,MND1-OX2_3,MND1-OX2_4,MND1-OX2_1,MND1-OX2_2,MND1-OX2_3,MND1-OX1_1,MND1-OX1_2,MND1-OX1_3,MND1-OX1_4,MND1-OX1_5,hy5-215_1,hy5-215_2,mnd1-1_1
gt,,,MT,MT,MT,Col,Col,Col,Col,Col,Col,Col,MT,MT,MT,hy5-215,hy5-215,hy5-215,hy5-215,MND1-OX1,MND1-OX1,MND1-OX1,MND1-OX1,MND1-OX1,MND1-OX1,mnd1-1,mnd1-1,MND1-OX2,MND1-OX2,MND1-OX2,MND1-OX2,MND1-OX2,MND1-OX2,MND1-OX2,MND1-OX1,MND1-OX1,MND1-OX1,MND1-OX1,MND1-OX1,hy5-215,hy5-215,mnd1-1
TL,dummy,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609,div3MND1MAR0609
interval,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
plant,,,div3MND1MAR0609leftMT_1,div3MND1MAR0609leftMT_2,div3MND1MAR0609leftMT_3,div3MND1MAR0609leftCol_1,div3MND1MAR0609leftCol_2,div3MND1MAR0609leftCol_3,div3MND1MAR0609rightCol_1,div3MND1MAR0609rightCol_2,div3MND1MAR0609rightCol_3,div3MND1MAR0609rightCol_4,div3MND1MAR0609rightMT_1,div3MND1MAR0609rightMT_2,div3MND1MAR0609rightMT_3,div3MND1MAR0609lefthy5-215_1,div3MND1MAR0609lefthy5-215_2,div3MND1MAR0609lefthy5-215_3,div3MND1MAR0609lefthy5-215_4,div3MND1MAR0609leftMND1-OX1_1,div3MND1MAR0609leftMND1-OX1_2,div3MND1MAR0609leftMND1-OX1_3,div3MND1MAR0609leftMND1-OX1_4,div3MND1MAR0609leftMND1-OX1_5,div3MND1MAR0609leftMND1-OX1_6,div3MND1MAR0609leftmnd1-1_1,div3MND1MAR0609leftmnd1-1_2,div3MND1MAR0609leftMND1-OX2_1,div3MND1MAR0609leftMND1-OX2_2,div3MND1MAR0609leftMND1-OX2_3,div3MND1MAR0609leftMND1-OX2_4,div3MND1MAR0609rightMND1-OX2_1,div3MND1MAR0609rightMND1-OX2_2,div3MND1MAR0609rightMND1-OX2_3,div3MND1MAR0609rightMND1-OX1_1,div3MND1MAR0609rightMND1-OX1_2,div3MND1MAR0609rightMND1-OX1_3,div3MND1MAR0609rightMND1-OX1_4,div3MND1MAR0609rightMND1-OX1_5,div3MND1MAR0609righthy5-215_1,div3MND1MAR0609righthy5-215_2,div3MND1MAR0609rightmnd1-1_1
Plate,,,left,left,left,left,left,left,right,right,right,right,right,right,right,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,right,right,right,right,right,right,right,right,right,right,right
gtRow,,,top,top,top,mid,mid,mid,top,top,top,top,bottom,bottom,bottom,top,top,top,top,mid,mid,mid,mid,mid,mid,bottom,bottom,bottom,bottom,bottom,bottom,top,top,top,middle,middle,middle,middle,middle,middle,middle,bottom
gtCol,,,left,left,left,left,left,left,left,left,left,left,left,left,left,right,right,right,right,right,right,right,right,right,right,left,left,right,right,right,right,right,right,right,left,left,left,left,left,right,right,right
first slice,,,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441,06MAR441
plant_number,,,1,2,3,1,2,3,1,2,3,4,1,2,3,1,2,3,4,1,2,3,4,5,6,1,2,1,2,3,4,1,2,3,1,2,3,4,5,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
