exp,plate,genotype,rep,label,pixel,mm
4,A,Col,1,2016pifgi2exp1a_Col.avi:0540-0174-0056:270.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0539-0174-0056:269.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0538-0174-0056:269.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0537-0174-0056:268.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0536-0174-0056:268.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0535-0174-0056:267.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0534-0174-0056:267.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0533-0174-0056:266.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0532-0174-0056:266.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0531-0174-0056:265.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0530-0174-0056:265.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0529-0174-0056:264.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0528-0174-0056:264.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0527-0174-0056:263.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0526-0174-0056:263.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0525-0174-0056:262.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0524-0174-0056:262.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0523-0174-0056:261.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0522-0174-0056:261.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0521-0174-0056:260.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0520-0174-0056:260.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0519-0174-0056:259.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0518-0174-0056:259.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0517-0174-0056:258.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0516-0174-0056:258.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0515-0174-0056:257.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0514-0174-0056:257.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0513-0174-0056:256.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0512-0174-0056:256.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0511-0174-0056:255.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0510-0174-0056:255.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0509-0174-0056:254.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0508-0174-0056:254.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0507-0174-0056:253.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0506-0174-0056:253.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0505-0174-0056:252.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0504-0174-0056:252.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0503-0174-0056:251.50 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0502-0174-0056:251.00 s,53.834,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0501-0174-0056:250.50 s,53.834,
