exp,plate,genotype,rep,label,pixel,mm
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0800-0118-0176:400.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0798-0118-0176:399.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0797-0118-0176:398.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0796-0118-0176:398.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0795-0118-0176:397.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0794-0118-0176:397.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0793-0118-0176:396.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0792-0118-0176:396.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0791-0118-0176:395.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0790-0118-0176:395.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0789-0118-0176:394.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0788-0118-0176:394.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0787-0118-0176:393.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0786-0118-0176:393.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0785-0118-0176:392.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0784-0118-0176:392.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0783-0118-0176:391.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0782-0118-0176:391.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0781-0118-0176:390.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0780-0118-0176:390.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0779-0118-0176:389.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0778-0118-0176:389.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0777-0118-0176:388.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0776-0118-0176:388.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0775-0118-0176:387.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0774-0118-0176:387.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0773-0118-0176:386.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0772-0118-0176:386.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0771-0118-0176:385.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0770-0118-0176:385.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0769-0118-0176:384.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0768-0118-0176:384.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0767-0118-0176:383.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0766-0118-0176:383.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0765-0118-0176:382.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0764-0118-0176:382.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0763-0118-0176:381.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0762-0118-0176:381.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0761-0118-0176:380.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0760-0118-0176:380.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0759-0118-0176:379.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0758-0118-0176:379.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0757-0118-0176:378.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0756-0118-0176:378.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0755-0118-0176:377.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0754-0118-0176:377.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0753-0118-0176:376.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0752-0118-0176:376.00 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0751-0118-0176:375.50 s,66.753,
6,A,gi2pif4,2,2016pifgi2exp3a_gi2pif4.avi:0750-0119-0176:375.00 s,66.031,
