exp,plate,genotype,rep,label,pixel,mm
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0336-0159-0117:168.00 s,62.75,4.884983979
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0335-0159-0117:167.50 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0334-0159-0117:167.00 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0333-0159-0117:166.50 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0332-0159-0117:166.00 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0331-0159-0117:165.50 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0330-0159-0117:165.00 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0329-0159-0117:164.50 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0328-0159-0117:164.00 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0327-0159-0117:163.50 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0326-0159-0117:163.00 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0325-0159-0117:162.50 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0324-0159-0117:162.00 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0323-0159-0117:161.50 s,62.75,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0322-0160-0117:161.00 s,61.753,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0321-0160-0117:160.50 s,60.756,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0320-0160-0117:160.00 s,60.756,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0319-0160-0117:159.50 s,60.756,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0318-0161-0117:159.00 s,59.759,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0317-0161-0117:158.50 s,59.759,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0316-0162-0117:158.00 s,57.765,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0315-0162-0117:157.50 s,57.765,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0314-0162-0117:157.00 s,57.765,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0313-0162-0117:156.50 s,56.769,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0312-0162-0117:156.00 s,56.769,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0311-0162-0117:155.50 s,56.769,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0310-0162-0117:155.00 s,56.769,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0309-0163-0117:154.50 s,55.868,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0308-0163-0117:154.00 s,55.868,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0305-0164-0116:152.50 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0304-0164-0116:152.00 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0303-0164-0116:151.50 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0302-0164-0116:151.00 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0301-0164-0116:150.50 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0302-0164-0116-1:151.00 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0301-0164-0116-1:150.50 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0300-0164-0116:150.00 s,51.718,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0299-0165-0116:149.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0298-0165-0116:149.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0297-0165-0116:148.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0296-0165-0116:148.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0295-0165-0116:147.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0294-0165-0116:147.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0293-0165-0116:146.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0292-0165-0116:146.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0291-0165-0118:145.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0290-0165-0118:145.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0289-0165-0118:144.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0288-0165-0118:144.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0287-0165-0118:143.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0286-0165-0118:143.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0285-0165-0118:142.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0284-0165-0118:142.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0283-0165-0118:141.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0282-0165-0118:141.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0281-0165-0118:140.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0280-0165-0118:140.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0279-0165-0118:139.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0278-0165-0118:139.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0277-0165-0118:138.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0276-0165-0118:138.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0275-0165-0118:137.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0274-0165-0118:137.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0273-0165-0118:136.50 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0272-0165-0118:136.00 s,49.723,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0271-0166-0118:135.50 s,47.728,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0270-0166-0118:135.00 s,47.728,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0269-0166-0118:134.50 s,47.728,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0268-0166-0118:134.00 s,47.728,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0267-0166-0118:133.50 s,47.728,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0266-0166-0118:133.00 s,47.728,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0265-0166-0118:132.50 s,47.728,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0265-0167-0118:132.50 s,45.734,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0264-0167-0118:132.00 s,45.734,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0263-0167-0118:131.50 s,45.734,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0262-0167-0118:131.00 s,45.734,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0261-0167-0118:130.50 s,45.734,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0260-0167-0118:130.00 s,45.734,
1,A,pif3 gi2,1,2016pif3gi2exp1A_pif3gi2.avi:0259-0167-0118:129.50 s,45.734,
